STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,MONTH,DAY_WEEK,ROUTE,MAN_COLL,DRUNK_DR,FATALS
California,61648,4,4,0,0,May,Saturday,1,7,0,1
California,61649,1,1,0,1,May,Sunday,3,0,0,1
California,61650,1,1,0,0,August,Monday,3,0,0,1
California,61651,1,1,0,0,April,Saturday,1,0,0,1
California,61652,1,1,0,0,July,Tuesday,1,0,1,1
California,61653,1,1,0,1,July,Thrusday,9,0,0,1
California,61654,2,1,1,1,August,Thrusday,9,0,1,1
California,61655,1,1,0,1,July,Thrusday,9,0,1,1
California,61656,2,2,0,0,August,Friday,1,6,0,1
California,61657,1,1,0,1,July,Tuesday,9,0,0,1
California,61658,2,2,0,0,June,Monday,3,7,1,1
California,61659,1,1,0,1,August,Wednesday,1,0,0,1
